country,latitude,longitude,year,t2m_celsius,source
Afghanistan,33.0,65.0,202205,21.2,NASA POWER
Afghanistan,33.0,65.0,202206,24.2,NASA POWER
Afghanistan,33.0,65.0,202207,26.91,NASA POWER
Afghanistan,33.0,65.0,202208,24.22,NASA POWER
Afghanistan,33.0,65.0,202209,20.04,NASA POWER
Afghanistan,33.0,65.0,202210,14.64,NASA POWER
Afghanistan,33.0,65.0,202211,8.38,NASA POWER
Afghanistan,33.0,65.0,202212,3.03,NASA POWER
Afghanistan,33.0,65.0,202213,14.57,NASA POWER
Afghanistan,33.0,65.0,202301,-1.74,NASA POWER
Afghanistan,33.0,65.0,202302,4.5,NASA POWER
Afghanistan,33.0,65.0,202303,8.95,NASA POWER
Afghanistan,33.0,65.0,202304,13.38,NASA POWER
Afghanistan,33.0,65.0,202305,17.42,NASA POWER
Afghanistan,33.0,65.0,202306,25.13,NASA POWER
Afghanistan,33.0,65.0,202307,26.92,NASA POWER
Afghanistan,33.0,65.0,202308,24.55,NASA POWER
Afghanistan,33.0,65.0,202309,20.97,NASA POWER
Afghanistan,33.0,65.0,202310,15.32,NASA POWER
Afghanistan,33.0,65.0,202311,8.87,NASA POWER
Afghanistan,33.0,65.0,202312,5.37,NASA POWER
Afghanistan,33.0,65.0,202313,14.18,NASA POWER
Afghanistan,33.0,65.0,202401,3.95,NASA POWER
Afghanistan,33.0,65.0,202402,3.26,NASA POWER
Afghanistan,33.0,65.0,202403,6.82,NASA POWER
Afghanistan,33.0,65.0,202404,11.83,NASA POWER
Afghanistan,33.0,65.0,202405,19.61,NASA POWER
Afghanistan,33.0,65.0,202406,25.04,NASA POWER
Afghanistan,33.0,65.0,202407,27.7,NASA POWER
Afghanistan,33.0,65.0,202408,26.74,NASA POWER
Afghanistan,33.0,65.0,202409,22.18,NASA POWER
Afghanistan,33.0,65.0,202410,16.34,NASA POWER
Afghanistan,33.0,65.0,202411,10.57,NASA POWER
Afghanistan,33.0,65.0,202412,1.68,NASA POWER
Afghanistan,33.0,65.0,202413,14.68,NASA POWER
Albania,41.0,20.0,201501,4.16,NASA POWER
Albania,41.0,20.0,201502,4.93,NASA POWER
Albania,41.0,20.0,201503,7.65,NASA POWER
Albania,41.0,20.0,201504,11.32,NASA POWER
Albania,41.0,20.0,201505,18.44,NASA POWER
Albania,41.0,20.0,201506,21.8,NASA POWER
Albania,41.0,20.0,201507,28.1,NASA POWER
Albania,41.0,20.0,201508,26.47,NASA POWER
Albania,41.0,20.0,201509,22.41,NASA POWER
Albania,41.0,20.0,201510,15.56,NASA POWER
Albania,41.0,20.0,201511,11.75,NASA POWER
Albania,41.0,20.0,201512,6.85,NASA POWER
Albania,41.0,20.0,201513,15.02,NASA POWER
Albania,41.0,20.0,201601,4.97,NASA POWER
Albania,41.0,20.0,201602,9.31,NASA POWER
Albania,41.0,20.0,201603,8.72,NASA POWER
Albania,41.0,20.0,201604,14.86,NASA POWER
Albania,41.0,20.0,201605,15.59,NASA POWER
Albania,41.0,20.0,201606,22.26,NASA POWER
Albania,41.0,20.0,201607,26.24,NASA POWER
Albania,41.0,20.0,201608,25.36,NASA POWER
Albania,41.0,20.0,201609,19.83,NASA POWER
Albania,41.0,20.0,201610,14.98,NASA POWER
Albania,41.0,20.0,201611,9.71,NASA POWER
Albania,41.0,20.0,201612,3.69,NASA POWER
Albania,41.0,20.0,201613,14.63,NASA POWER
Albania,41.0,20.0,201701,0.92,NASA POWER
Albania,41.0,20.0,201702,7.44,NASA POWER
Albania,41.0,20.0,201703,10.7,NASA POWER
Albania,41.0,20.0,201704,12.49,NASA POWER
Albania,41.0,20.0,201705,17.24,NASA POWER
Albania,41.0,20.0,201706,24.36,NASA POWER
Albania,41.0,20.0,201707,26.94,NASA POWER
Albania,41.0,20.0,201708,27.63,NASA POWER
Albania,41.0,20.0,201709,19.75,NASA POWER
Albania,41.0,20.0,201710,15.01,NASA POWER
Albania,41.0,20.0,201711,9.76,NASA POWER
Albania,41.0,20.0,201712,5.75,NASA POWER
Albania,41.0,20.0,201713,14.87,NASA POWER
Albania,41.0,20.0,201801,6.02,NASA POWER
Albania,41.0,20.0,201802,5.76,NASA POWER
Albania,41.0,20.0,201803,8.76,NASA POWER
Albania,41.0,20.0,201804,16.05,NASA POWER
Albania,41.0,20.0,201805,18.96,NASA POWER
Albania,41.0,20.0,201806,21.51,NASA POWER
Albania,41.0,20.0,201807,24.61,NASA POWER
Albania,41.0,20.0,201808,25.6,NASA POWER
